Title,COE UKI London Construction Raw total £m                                
CDID,R2ZP
Source dataset ID,RAGV
PreUnit,£
Unit,m
Release date,10/12/14
Next release,9-Dec-15
Important notes,
1997,3356
1998,3717
1999,3775
2000,4538
2001,4630
2002,4644
2003,4902
2004,4630
2005,5144
2006,5727
2007,6422
2008,6154
2009,5568
2010,6393
2011,5912
2012,7336
